Title,Acronym,CORE2023,CORE2021,CORE2020,CORE2018,CORE2017,CORE2014,CORE2013,ERA2010,h5_index,h5_median
European Simulation Symposium,ESS,,,,B,B,B,B,B,11.0,14.0
European Symposium On Research In Computer Security,ESORICS,A,A,A,A,A,A,A,A,33.0,48.0
European Symposium on Algorithms,ESA,A,A,A,A,A,A,A,A,25.0,30.0
European Symposium on Artificial Neural Networks,ESANN,B,B,B,B,B,B,B,B,18.0,24.0
European Symposium on Gender and ICT,ESGICT,,,,C,C,C,C,C,,
European Symposium on Programming,ESOP,A,A,A,A,A,A,A,A,23.0,30.0
European Workshop on Advanced Mobile Robots,EuroBot,,,,C,C,C,C,C,,
European Workshop on Computational Geometry,EuroCG,C,C,C,C,C,C,C,C,,
European Workshop on Learning Robots,EWLR,,,,B,B,B,B,,,
European Workshop on Modelling Autonomous Agents in a Multi-Agent World,MAAMAW,,,,C,C,C,C,C,,
European Workshop on Security and Privacy in Ad -Hoc and Sensor Networks,ESAS,,,,C,C,C,C,C,,
"European, Mediterranean and Middle Eastern Conference on Information Systems",EMCIS,,,,B,B,B,B,B,14.0,25.0
European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,C,C,C,C,C,C,C,C,7.0,11.0
Eurosys Conference,EuroSys,A,A,A,A,A,A,A,A,,
Exploring Modelling Methods in Systems Analysis and Design,EMMSAD,C,C,C,C,C,C,C,C,,
Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,B,A,A,A,A,A,A,,28.0,45.0
Extending Database Technology,EDBT,A,A,A,A,A,A,A,A,29.0,38.0
Extreme Markup Languages,Extreme,,,,C,C,C,C,C,,
Eye Tracking Research and Applications,ETRA,B,B,,,,,,,31.0,43.0
FIRA Robot World Congress,FIRA,,,,C,C,C,C,C,,
Field Programmable Logic and Applications,FPL,TBR,,,,,,,,28.0,41.0
Financial Cryptography and Data Security Conference,FC,A,A,B,B,B,B,A,A,47.0,86.0
Finite Differences-Finite Elements-Finite Volumes-Boundary Elements,F-and-B,,,,C,C,C,C,C,,
Flexible Query-Answering Systems,FQAS,C,C,C,C,C,C,C,C,,
Florida Artificial Intelligence Research Society Conference,FlAIRS,National: USA,National: USA,,,,,,C,,
Formal Methods Pacific,FMP,,,,C,C,C,C,C,,
Formal Methods in Computer-Aided Design,FMCAD,B,B,Unranked,Unranked,,,,,18.0,23.0
Formal Methods in Software Engineering and Defence Systems Workshop,FMSEDS,,,,C,C,C,C,C,,
Formal Power Series and Algebraic Combinatorics,FPSAC,,,,B,B,B,B,B,,
Formal Techniques in Real-Time and Fault Tolerant Systems,FTRTFT,,,,B,B,B,B,,,
Formal and Computational Cryptography,FCC,,,,C,C,C,C,C,,
Forum on Specification and Design Languages,FDL,C,C,C,C,C,C,C,C,,
Foundations of Aspect-Oriented Languages,FOAL,,,,C,C,C,C,C,,
Foundations of Genetic Algorithms,FOGA,A,A,A*,A*,A*,A*,A*,A,,
Foundations of Software Science and Computational Structures,FOSSACS,A,A,A,A,A,A,C,C,17.0,23.0
Foundations of Software Technology and Theoretical Computer Science,FST&TCS,National: India,National: India,National: India,B,B,B,B,B,11.0,15.0
Frontiers in Education,FIE,C,C,B,B,B,B,B,,72.0,109.0
Functional and Declarative Programming in Education,FDPE,,,,C,C,C,C,C,,
Fundamental Approaches to Software Engineering,FASE,B,B,B,B,B,B,B,B,18.0,23.0
"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,C,C,C,C,C,C,C,C,,
GIS Planet Conference,GISPlanet,,,,C,C,C,C,C,,
Game Developers Conference,GDC,,,,C,C,C,C,C,,
Genetic and Evolutionary Computations,GECCO,A,A,A,A,A,A,A,A,,
